tenure,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn,is_new_customer,is_long_term_customer,monthly_charges_log,high_price_flag,price_to_tenure_ratio,is_auto_pay,high_support_calls,support_calls_per_month,recent_issue_proxxy,high_price_new_customer,month_to_month_high_support,long_term_low_support
52,54.2,2818.4,Month-to-month,Credit,DSL,No,Yes,1,No,0,1,4.01096295328305,0,1.0423076923076924,1,0,0.019230769230769232,0,0,0,1
15,35.28,529.2,Month-to-month,Debit,DSL,No,No,2,No,0,0,3.591266625246936,0,2.352,1,0,0.13333333333333333,0,0,0,0
72,78.24,5633.28,Month-to-month,Debit,DSL,No,No,0,No,0,1,4.37248122183035,0,1.0866666666666667,1,0,0.0,0,0,0,1
61,80.24,4894.64,One year,Cash,Fiber,Yes,Yes,0,No,0,1,4.397407736712184,0,1.3154098360655737,0,0,0.0,0,0,0,1
21,39.38,826.98,Month-to-month,UPI,Fiber,No,No,4,Yes,0,0,3.6983346128846915,0,1.8752380952380954,1,1,0.19047619047619047,0,0,1,0
24,39.66,951.84,Two year,Cash,Fiber,No,No,1,No,0,0,3.7052448082002005,0,1.6524999999999999,0,0,0.041666666666666664,0,0,0,0
3,118.95,356.85,Month-to-month,Credit,DSL,No,No,2,Yes,1,0,4.787074989285704,1,39.65,1,0,0.6666666666666666,0,1,0,0
22,44.33,975.26,Month-to-month,Debit,Fiber,Yes,Yes,0,No,0,0,3.813969064952758,0,2.015,1,0,0.0,0,0,0,0
53,103.82,5502.46,Month-to-month,UPI,Fiber,Yes,Yes,1,No,0,1,4.65224459337402,1,1.9588679245283018,1,0,0.018867924528301886,0,0,0,1
2,67.03,134.06,Two year,Credit,DSL,No,Yes,2,No,1,0,4.219948784356969,0,33.515,1,0,1.0,0,0,0,0
30,63.5,1905.0,One year,Cash,DSL,No,Yes,1,No,0,0,4.1666652238017265,0,2.1166666666666667,0,0,0.03333333333333333,0,0,0,0
38,49.5,1881.0,Month-to-month,Debit,,No,Yes,1,Yes,0,1,3.9219733362813143,0,1.3026315789473684,1,0,0.02631578947368421,0,0,0,1
2,97.38,194.76,Month-to-month,Cash,DSL,No,Yes,2,Yes,1,0,4.588837531367194,1,48.69,0,0,1.0,0,1,0,0
64,108.07,6916.48,Month-to-month,Debit,DSL,Yes,No,1,No,0,1,4.691989877940651,1,1.68859375,1,0,0.015625,0,0,0,1
